Year,Country,Total_expenditure
2014,Micronesia (Federated States of),13.71
2013,Micronesia (Federated States of),13.38
2012,Micronesia (Federated States of),12.77
2011,Micronesia (Federated States of),13.76
2010,Micronesia (Federated States of),13.83
2009,Micronesia (Federated States of),13.44
2008,Micronesia (Federated States of),12.94
2007,Micronesia (Federated States of),11.99
2006,Micronesia (Federated States of),11.92
2005,Micronesia (Federated States of),12.11
2004,Micronesia (Federated States of),1.64
2003,Micronesia (Federated States of),9.69
2002,Micronesia (Federated States of),8.2
2001,Micronesia (Federated States of),8.58
2000,Micronesia (Federated States of),7.88
2014,Norway,9.72
2013,Norway,9.39
2012,Norway,9.16
2011,Norway,9.14
2010,Norway,9.26
2009,Norway,9.49
2008,Norway,8.4
2007,Norway,8.58
2006,Norway,8.43
2005,Norway,8.89
2004,Norway,9.44
2003,Norway,9.85
2002,Norway,9.62
2001,Norway,8.65
2000,Norway,8.27
2014,Sierra Leone,11.9
2013,Sierra Leone,11.59
2012,Sierra Leone,11.24
2011,Sierra Leone,11.98
2010,Sierra Leone,1.32
2009,Sierra Leone,13.13
2008,Sierra Leone,1.29
2007,Sierra Leone,1.12
2006,Sierra Leone,1.68
2005,Sierra Leone,12.25
2004,Sierra Leone,11.66
2003,Sierra Leone,11.69
2002,Sierra Leone,11.96
2001,Sierra Leone,11.83
2000,Sierra Leone,13.63
2014,Sweden,11.93
2013,Sweden,11.97
2012,Sweden,11.8
2011,Sweden,11.7
2010,Sweden,9.47
2009,Sweden,9.94
2008,Sweden,9.23
2007,Sweden,8.92
2006,Sweden,8.95
2005,Sweden,9.6
2004,Sweden,9.9
2003,Sweden,9.31
2002,Sweden,9.23
2001,Sweden,8.86
2000,Sweden,8.18
2014,United States of America,17.14
2013,United States of America,16.9
2012,United States of America,17.2
2011,United States of America,17.6
2010,United States of America,17.2
2009,United States of America,17.0
2008,United States of America,16.2
2007,United States of America,15.57
2006,United States of America,15.27
2005,United States of America,15.15
2004,United States of America,15.14
2003,United States of America,15.6
2002,United States of America,14.55
2001,United States of America,13.73
2000,United States of America,13.7
