Country,GDP,Life expectancy,Predicted Life Expectancy,Intercept,Coefficient
Afghanistan,584.25921,65.0,69.45441304347612,69.26423431122686,0.0003255040382662879
Albania,3954.22783,77.8,70.5513514381168,69.26423431122686,0.0003255040382662879
Algeria,4132.76292,75.6,70.60946533088403,69.26423431122686,0.0003255040382662879
Angola,3695.793748,52.4,70.46723010080015,69.26423431122686,0.0003255040382662879
Antigua and Barbuda,13566.9541,76.4,73.68033265775023,69.26423431122686,0.0003255040382662879
Argentina,13467.1236,76.3,73.64783742685809,69.26423431122686,0.0003255040382662879
Armenia,369.654776,74.8,69.38455843357927,69.26423431122686,0.0003255040382662879
Australia,56554.3876,82.8,87.67291585670374,69.26423431122686,0.0003255040382662879
Austria,43665.947,81.5,83.47767639444855,69.26423431122686,0.0003255040382662879
Azerbaijan,55.31382,72.7,69.2822391830088,69.26423431122686,0.0003255040382662879
Bahrain,22688.87824,76.9,76.64955580207896,69.26423431122686,0.0003255040382662879
Bangladesh,121.15812,71.8,69.3036717685556,69.26423431122686,0.0003255040382662879
Barbados,15557.8381,75.5,74.32837343946997,69.26423431122686,0.0003255040382662879
Belarus,5949.11677,72.3,71.20069584397956,69.26423431122686,0.0003255040382662879
Belgium,4356.875,81.1,70.68241471794829,69.26423431122686,0.0003255040382662879
Belize,4849.997495,71.0,70.84292808143074,69.26423431122686,0.0003255040382662879
Benin,783.94791,60.0,69.51941252172227,69.26423431122686,0.0003255040382662879
Bhutan,2613.645177,69.8,70.11498637093557,69.26423431122686,0.0003255040382662879
Bosnia and Herzegovina,4574.9787,77.4,70.75340835305911,69.26423431122686,0.0003255040382662879
Botswana,6532.651,65.7,71.39063859231116,69.26423431122686,0.0003255040382662879
Brazil,8757.2622,75.0,72.11475852148358,69.26423431122686,0.0003255040382662879
Brunei Darussalam,3967.8951,77.7,70.55580018969387,69.26423431122686,0.0003255040382662879
Bulgaria,6993.47736,74.5,71.54063943343071,69.26423431122686,0.0003255040382662879
Burkina Faso,615.592225,59.9,69.46461206638969,69.26423431122686,0.0003255040382662879
Burundi,33.681223,59.6,69.2751976853271,69.26423431122686,0.0003255040382662879
Cabo Verde,2954.119467,73.3,70.22581212725642,69.26423431122686,0.0003255040382662879
Cambodia,1163.18977,68.7,69.6428572786319,69.26423431122686,0.0003255040382662879
Cameroon,1244.429421,57.3,69.66930111309973,69.26423431122686,0.0003255040382662879
Canada,43315.744,82.2,83.36368390373559,69.26423431122686,0.0003255040382662879
Central African Republic,348.381417,52.5,69.3776338693173,69.26423431122686,0.0003255040382662879
Chad,777.248751,53.1,69.51723191841478,69.26423431122686,0.0003255040382662879
Chile,13653.2264,85.0,73.70841463979075,69.26423431122686,0.0003255040382662879
China,869.211938,76.1,69.54716630715512,69.26423431122686,0.0003255040382662879
Colombia,644.525556,74.8,69.47402998247068,69.26423431122686,0.0003255040382662879
Comoros,727.6463868,63.5,69.50108614856013,69.26423431122686,0.0003255040382662879
Costa Rica,1146.36273,79.6,69.63738000915983,69.26423431122686,0.0003255040382662879
Croatia,11579.6674,78.0,73.03346281170734,69.26423431122686,0.0003255040382662879
Cuba,762.261218,79.1,69.51235341589964,69.26423431122686,0.0003255040382662879
Cyprus,2375.1127,85.0,70.03734308641441,69.26423431122686,0.0003255040382662879
Denmark,5314.64416,86.0,70.9941724472552,69.26423431122686,0.0003255040382662879
Djibouti,1862.167274,63.5,69.87037727884119,69.26423431122686,0.0003255040382662879
Dominican Republic,6468.471648,73.9,71.36974795406185,69.26423431122686,0.0003255040382662879
Ecuador,625.62224,76.2,69.46787687677606,69.26423431122686,0.0003255040382662879
El Salvador,4127.11775,73.5,70.60762780525233,69.26423431122686,0.0003255040382662879
Equatorial Guinea,1347.31257,58.2,69.70278999356879,69.26423431122686,0.0003255040382662879
Eritrea,582.775532,64.7,69.45393010029564,69.26423431122686,0.0003255040382662879
