Country,Life expectancy,Adult Mortality,Immunization Coverage,Bubble Size
Afghanistan,65.0,263.0,45.333333333333336,37.83783783783784
Albania,77.8,74.0,99.0,72.43243243243242
Algeria,75.6,19.0,95.0,66.48648648648647
Angola,52.4,335.0,45.0,3.7837837837837798
Antigua and Barbuda,76.4,13.0,94.66666666666667,68.64864864864867
Argentina,76.3,116.0,93.66666666666667,68.37837837837837
Armenia,74.8,118.0,94.66666666666667,64.32432432432431
Australia,82.8,59.0,93.0,85.94594594594594
Austria,81.5,65.0,93.0,82.43243243243244
Azerbaijan,72.7,118.0,96.66666666666667,58.64864864864866
Bahamas,76.1,147.0,95.0,67.83783783783782
Bahrain,76.9,69.0,98.0,70.00000000000001
Bangladesh,71.8,129.0,97.0,56.21621621621621
Barbados,75.5,98.0,97.0,66.21621621621621
Belarus,72.3,196.0,99.0,57.56756756756756
Belgium,81.1,74.0,98.66666666666667,81.35135135135133
Belize,71.0,175.0,94.0,54.054054054054056
Benin,60.0,249.0,80.66666666666667,24.324324324324326
Bhutan,69.8,211.0,98.66666666666667,50.8108108108108
Bolivia (Plurinational State of),77.0,186.0,99.0,70.27027027027027
Bosnia and Herzegovina,77.4,88.0,79.33333333333333,71.35135135135137
Botswana,65.7,256.0,95.33333333333333,39.72972972972973
Brazil,75.0,142.0,96.66666666666667,64.86486486486487
Brunei Darussalam,77.7,78.0,99.0,72.16216216216218
Bulgaria,74.5,137.0,91.33333333333333,63.51351351351351
Burkina Faso,59.9,26.0,91.0,24.05405405405405
Burundi,59.6,288.0,94.0,23.243243243243246
Cabo Verde,73.3,114.0,94.0,60.27027027027027
Cambodia,68.7,174.0,88.33333333333333,47.837837837837846
Cameroon,57.3,357.0,83.66666666666667,17.02702702702702
Canada,82.2,64.0,79.0,84.32432432432432
Central African Republic,52.5,397.0,47.0,4.054054054054054
Chad,53.1,356.0,48.0,5.67567567567568
Chile,85.0,82.0,96.33333333333333,91.8918918918919
China,76.1,85.0,99.0,67.83783783783782
Colombia,74.8,143.0,91.0,64.32432432432431
Comoros,63.5,227.0,91.33333333333333,33.78378378378378
Congo,64.7,267.0,8.0,37.02702702702704
Costa Rica,79.6,95.0,92.0,77.29729729729729
Croatia,78.0,95.0,94.0,72.97297297297297
Cuba,79.1,92.0,99.0,75.94594594594592
Cyprus,85.0,52.0,97.0,91.8918918918919
Czechia,78.8,86.0,97.0,75.13513513513513
Côte d'Ivoire,53.3,397.0,82.33333333333333,6.216216216216209
Democratic People's Republic of Korea,76.0,139.0,97.0,67.56756756756756
Democratic Republic of the Congo,59.8,258.0,80.0,23.783783783783775
Denmark,86.0,71.0,93.0,94.5945945945946
Djibouti,63.5,241.0,84.0,33.78378378378378
Dominican Republic,73.9,152.0,84.33333333333333,61.8918918918919
Ecuador,76.2,118.0,80.0,68.10810810810811
Egypt,79.0,159.0,93.0,75.67567567567568
El Salvador,73.5,178.0,91.33333333333333,60.810810810810814
Equatorial Guinea,58.2,32.0,16.333333333333332,19.459459459459467
Eritrea,64.7,255.0,95.0,37.02702702702704
Estonia,77.6,119.0,92.33333333333333,71.89189189189187
Ethiopia,64.8,225.0,76.33333333333333,37.29729729729729
Fiji,69.9,188.0,99.0,51.081081081081095
Finland,81.1,76.0,97.0,81.35135135135133
France,82.4,78.0,94.0,84.86486486486487
Gabon,66.0,229.0,31.666666666666668,40.54054054054054
Gambia,61.1,262.0,96.66666666666667,27.297297297297302
Georgia,74.4,129.0,93.0,63.24324324324326
Germany,81.0,68.0,92.33333333333333,81.08108108108108
Ghana,62.4,249.0,88.0,30.810810810810807
Greece,81.0,72.0,98.0,81.08108108108108
Grenada,73.6,142.0,94.33333333333333,61.08108108108107
Guatemala,71.9,186.0,52.333333333333336,56.4864864864865
Guinea,59.0,284.0,50.0,21.62162162162162
Guinea-Bissau,58.9,275.0,87.0,21.351351351351347
Guyana,66.2,215.0,94.0,41.08108108108109
Haiti,63.5,24.0,22.666666666666668,33.78378378378378
Honduras,74.6,147.0,97.0,63.78378378378377
Hungary,75.8,134.0,99.0,67.02702702702702
Iceland,82.7,49.0,92.0,85.67567567567569
India,68.3,181.0,86.66666666666667,46.75675675675675
Indonesia,69.1,176.0,54.666666666666664,48.918918918918905
Iran (Islamic Republic of),75.5,83.0,98.0,66.21621621621621
Iraq,68.9,182.0,59.0,48.37837837837839
Ireland,81.4,64.0,95.0,82.16216216216218
Israel,82.5,58.0,95.33333333333333,85.13513513513513
Italy,82.7,56.0,93.0,85.67567567567569
Jamaica,76.2,125.0,91.0,68.10810810810811
Japan,83.7,55.0,97.5,88.37837837837839
Jordan,74.1,112.0,99.0,62.432432432432414
Kazakhstan,72.0,198.0,98.0,56.75675675675676
Kenya,63.4,249.0,87.0,33.51351351351351
Kiribati,66.3,198.0,56.0,41.35135135135135
Kuwait,74.7,81.0,99.0,64.05405405405406
Kyrgyzstan,71.1,166.0,97.0,54.324324324324316
Lao People's Democratic Republic,65.7,194.0,89.0,39.72972972972973
Latvia,74.6,153.0,94.66666666666667,63.78378378378377
Lebanon,74.9,98.0,79.0,64.59459459459461
Lesotho,53.7,484.0,65.0,7.2972972972973045
Liberia,61.4,259.0,52.0,28.108108108108105
Libya,72.7,138.0,97.0,58.64864864864866
Lithuania,73.6,165.0,93.33333333333333,61.08108108108107
Luxembourg,82.0,63.0,97.33333333333333,83.78378378378379
Madagascar,65.5,22.0,69.66666666666667,39.189189189189186
Malawi,58.3,365.0,88.0,19.729729729729723
Malaysia,75.0,123.0,99.0,64.86486486486487
Maldives,78.5,61.0,99.0,74.32432432432432
Mali,58.2,266.0,64.66666666666667,19.459459459459467
Malta,81.7,54.0,96.33333333333333,82.97297297297298
Mauritania,63.1,25.0,71.0,32.70270270270271
Mauritius,74.6,146.0,97.33333333333333,63.78378378378377
Mexico,76.7,122.0,85.33333333333333,69.45945945945947
Micronesia (Federated States of),69.4,166.0,73.66666666666667,49.72972972972974
Mongolia,68.8,222.0,99.0,48.1081081081081
Montenegro,76.1,16.0,86.66666666666667,67.83783783783782
Morocco,74.3,95.0,99.0,62.97297297297296
Mozambique,57.6,355.0,8.0,17.837837837837842
Myanmar,66.6,199.0,89.0,42.16216216216215
Namibia,65.8,248.0,92.0,39.99999999999999
